marca,modelo,año,kilometros,precio,descuento,color,combustible,transmision,estado
BMW,X5,1998,159087,30391.77,8,plateado,gasolina,manual,regular
GMC,Savana 2500,2009,151064,18481.98,19,naranja,diesel,automatico,sobresaliente
Chevrolet,G-Series G10,2015,128977,48924.91,16,amarillo,diesel,manual,regular
GMC,1500 Club Coupe,2001,180990,1558.82,,morado,electrico,automatico,bueno
Ford,E-350 Super Duty,2012,71759,9220.43,,verde,gasolina,automatico,bueno
Mercedes-Benz,S-Class,2005,175184,8206.69,18,naranja,glp,automatico,deteriorado
GMC,Sierra 3500,1996,143908,15526.08,,blanco,gasolina,automatico,impecable
Infiniti,QX,2002,99659,15505.45,10,negro,diesel,manual,impecable
Infiniti,Q,2000,83078,35110.44,,blanco,glp,automatico,excelente
Chrysler,PT Cruiser,1995,172628,20890.01,,rojo,hibrido,automatico,deteriorado
Lamborghini,Diablo,2005,12713,49860.14,15,rosa,glp,manual,deteriorado
Ford,Mustang,2016,150860,35546.77,10,morado,electrico,manual,sobresaliente
Volvo,S80,2001,99564,44306.17,7,rojo,gasolina,manual,malo
Nissan,280ZX,2007,60291,27410.8,8,verde,electrico,manual,regular
Mercedes-Benz,SL-Class,2020,46316,25539.42,8,negro,gasolina,manual,impecable
Ford,Econoline E150,2010,60952,30326.93,9,morado,hibrido,manual,impecable
Toyota,Avalon,2019,192811,4499.14,7,negro,glp,manual,impecable
Chevrolet,Suburban 1500,1999,120537,38665.93,19,negro,glp,automatico,aceptable
Land Rover,LR2,2022,184010,19616.32,12,rosa,diesel,automatico,regular
Chrysler,200,2001,34618,28243.86,8,naranja,hibrido,manual,sobresaliente
Jeep,Liberty,2003,171809,43364.33,17,blanco,glp,automatico,regular
Corbin,Sparrow,2021,86369,37173.07,15,plateado,diesel,manual,regular
Nissan,Quest,2004,95809,45908.09,,azul,electrico,manual,bueno
GMC,Yukon,1995,162497,21335.02,,plateado,gasolina,manual,deteriorado
BMW,530,2003,126410,39090.97,6,naranja,glp,manual,excelente
Nissan,Versa,2017,167209,24081.01,,rosa,glp,manual,impecable
Volvo,V70,2000,67921,18185.2,15,verde,diesel,automatico,impecable
Volkswagen,Passat,1999,142187,47577.33,9,verde,gasolina,manual,bueno
Porsche,911,2009,135966,40730.29,,azul,glp,automatico,regular
Mazda,MPV,1999,21812,35879.96,11,verde,hibrido,automatico,excelente
BMW,X5,2000,110086,44511.69,,blanco,hibrido,automatico,aceptable
Chrysler,300,2019,115446,33068.38,15,azul,hibrido,manual,deteriorado
Nissan,Altima,2003,110023,4929.77,,naranja,diesel,automatico,aceptable
Toyota,Avalon,1996,181023,38300.61,10,plateado,hibrido,automatico,impecable
Geo,Prizm,2000,152927,37817.01,13,verde,electrico,manual,regular
Chevrolet,Astro,2018,163078,40188.97,,naranja,glp,automatico,sobresaliente
Land Rover,LR2,1999,187812,13417.78,18,amarillo,gasolina,manual,aceptable
Lincoln,MKX,2004,125993,3401.36,12,amarillo,hibrido,automatico,impecable
Mercedes-Benz,500SL,2021,194964,5158.17,7,azul,glp,automatico,impecable
Hummer,H1,2013,37798,24213.33,18,amarillo,glp,automatico,deteriorado
BMW,X5 M,2011,6553,44020.64,18,rosa,gasolina,manual,deteriorado
Buick,LeSabre,2015,90874,32219.94,,amarillo,electrico,automatico,sobresaliente
Chevrolet,S10 Blazer,2003,92619,7820.7,17,morado,glp,automatico,malo
Geo,Storm,2022,177631,16369.61,,blanco,diesel,automatico,impecable
Pontiac,Grand Am,2007,159601,21035.14,18,rojo,diesel,manual,sobresaliente
Volkswagen,New Beetle,2015,45201,21408.29,,naranja,glp,manual,impecable
Mercury,Mountaineer,1999,168240,10665.88,12,rosa,electrico,manual,malo
Volvo,V50,2022,186385,4055.53,16,plateado,gasolina,manual,sobresaliente
Dodge,Dakota,2018,102757,9639.23,7,negro,gasolina,automatico,malo
Lincoln,Town Car,2015,64739,30355.54,9,rosa,electrico,automatico,sobresaliente
GMC,Sierra,2005,191021,10802.73,14,plateado,glp,manual,deteriorado
Maybach,Landaulet,2022,123145,17171.84,,verde,glp,manual,impecable
Isuzu,Axiom,2014,199320,5920.25,,rosa,gasolina,manual,regular
Audi,A4,2015,164403,42209.74,20,plateado,electrico,manual,regular
Mitsubishi,Eclipse,2018,28882,13465.72,,negro,electrico,manual,sobresaliente
Subaru,Forester,2015,115576,20243.03,7,negro,electrico,manual,deteriorado
Porsche,911,2019,27475,34400.77,,negro,diesel,automatico,excelente
Subaru,Impreza,2003,149033,48519.36,19,naranja,glp,automatico,excelente
Dodge,Ram Van 1500,2003,61769,37643.91,13,negro,hibrido,manual,regular
Ford,Country,2017,55271,43585.03,,blanco,glp,automatico,sobresaliente
Ram,3500,2017,67508,1868.17,10,verde,electrico,manual,regular
Kia,Sportage,2022,175315,38531.76,7,amarillo,hibrido,manual,impecable
Toyota,RAV4,1997,161703,1866.19,,negro,gasolina,automatico,aceptable
Subaru,Forester,2014,25947,39649.07,9,morado,electrico,automatico,malo
Volkswagen,Jetta,2016,53152,31430.96,9,amarillo,gasolina,automatico,impecable
Cadillac,Escalade EXT,2015,136535,25063.4,8,morado,hibrido,manual,impecable
Acura,Vigor,2017,136321,29159.12,18,negro,diesel,manual,bueno
Chevrolet,Tahoe,2013,140329,34031.95,16,morado,glp,automatico,excelente
Chevrolet,Camaro,2018,156243,32639.47,5,rojo,hibrido,manual,aceptable
Suzuki,Esteem,2015,137527,2523.62,,blanco,electrico,automatico,bueno
Lincoln,Navigator L,2017,49949,11927.79,18,rosa,hibrido,automatico,malo
Mercedes-Benz,SLS AMG,1997,146362,42289.71,8,negro,gasolina,manual,deteriorado
Mazda,MX-6,1995,66153,26731.78,5,morado,glp,automatico,malo
Honda,Civic,1996,87205,29529.38,,verde,gasolina,manual,impecable
Mercedes-Benz,C-Class,2022,87505,5570.98,,verde,hibrido,automatico,bueno
Ford,Econoline E250,1996,16979,17947.49,11,morado,diesel,manual,aceptable
Dodge,D150 Club,1999,109476,14313.33,9,negro,gasolina,automatico,malo
Chevrolet,Silverado Hybrid,2021,190710,23553.19,5,rojo,diesel,manual,regular
Pontiac,6000,2016,124333,4362.28,12,rosa,electrico,manual,aceptable
GMC,2500,2008,10002,36271.88,,morado,gasolina,automatico,aceptable
Toyota,Celica,2003,61136,20732.1,,plateado,hibrido,automatico,sobresaliente
Ford,E150,2012,161457,15832.51,20,rojo,electrico,manual,deteriorado
Buick,Riviera,1995,1194,15562.73,,morado,glp,manual,impecable
Mitsubishi,Truck,2005,88260,32971.16,,rojo,electrico,automatico,excelente
Chevrolet,HHR,2000,189143,14640.41,,rojo,diesel,automatico,malo
Mercury,Montego,2015,165594,31638.81,11,morado,gasolina,automatico,bueno
Chevrolet,Tracker,2011,144931,34855.13,12,blanco,hibrido,manual,regular
Maserati,Quattroporte,1999,62345,37106.33,17,rosa,glp,manual,deteriorado
Mitsubishi,Montero,1996,54416,45869.97,8,verde,gasolina,automatico,impecable
Chevrolet,Impala,2012,138344,24218.66,,azul,electrico,automatico,malo
Scion,tC,2002,124348,31885.23,9,blanco,diesel,manual,impecable
Chrysler,Concorde,2006,156230,42180.18,17,morado,hibrido,manual,regular
Ford,Fusion,2001,31684,4891.88,14,rojo,gasolina,automatico,excelente
Land Rover,Range Rover Evoque,1998,73220,42707.46,8,amarillo,diesel,manual,deteriorado
Ford,Bronco II,1995,61631,3319.64,15,blanco,hibrido,automatico,sobresaliente
Nissan,Maxima,2011,171977,7195.96,14,negro,diesel,manual,regular
Jeep,Wrangler,2007,18426,33067.49,14,verde,gasolina,automatico,sobresaliente
Volkswagen,New Beetle,2001,106999,47356.17,,azul,electrico,manual,regular
Dodge,Charger,2004,11833,20460.81,16,plateado,gasolina,automatico,aceptable
Nissan,Sentra,1996,65183,6004.26,,blanco,hibrido,manual,excelente
Chevrolet,Astro,2015,22853,28124.06,14,rosa,glp,manual,regular
Ford,F350,2015,169838,17726.68,7,rojo,gasolina,automatico,excelente
Dodge,Dakota,2002,140835,22032.63,20,naranja,glp,automatico,bueno
Audi,100,2021,70260,38272.86,12,plateado,diesel,manual,excelente
Mitsubishi,Diamante,2019,102760,25154.04,5,negro,gasolina,manual,malo
Maserati,Quattroporte,1997,90477,37971.39,18,morado,gasolina,automatico,aceptable
Ford,Taurus,2002,196534,30150.77,12,negro,gasolina,automatico,impecable
Ferrari,F430 Spider,2014,41098,32381.19,8,rojo,glp,manual,bueno
Suzuki,Sidekick,2018,98826,35783.35,18,rojo,electrico,manual,impecable
Lexus,ES,2012,103142,36186.17,9,blanco,diesel,manual,aceptable
Cadillac,Escalade ESV,2011,185508,42016.29,11,naranja,diesel,automatico,excelente
Chevrolet,Express 3500,1998,157881,19518.92,,rojo,gasolina,manual,sobresaliente
Buick,Coachbuilder,2004,141435,28435.41,,morado,gasolina,automatico,deteriorado
Subaru,XT,2010,163222,20464.78,10,azul,glp,manual,aceptable
GMC,Envoy,2008,3323,39159.8,14,rojo,electrico,automatico,excelente
Buick,Regal,2013,13752,26263.27,9,azul,diesel,automatico,regular
Chevrolet,Cavalier,2010,93406,17147.98,17,blanco,hibrido,manual,impecable
Cadillac,Eldorado,2002,113677,11238.43,11,morado,diesel,manual,regular
BMW,X3,2000,17747,14139.13,10,rosa,gasolina,automatico,aceptable
Mercury,Mariner,2012,82152,34453.36,17,verde,gasolina,manual,malo
Toyota,Prius,2007,22710,24934.41,,rojo,electrico,automatico,malo
Subaru,Forester,2020,141422,46231.42,,blanco,gasolina,manual,bueno
GMC,Savana 3500,2004,117804,40709.68,,morado,hibrido,automatico,aceptable
Nissan,300ZX,2020,171671,20271.44,8,azul,glp,automatico,excelente
Chevrolet,S10,2017,31383,15149.19,19,naranja,hibrido,manual,impecable
Ford,Thunderbird,2010,99187,9811.53,,rosa,electrico,manual,regular
Oldsmobile,Silhouette,2006,198655,1495.72,20,rojo,glp,manual,deteriorado
Buick,Skyhawk,2013,182871,18524.06,19,amarillo,hibrido,manual,aceptable
Ford,Thunderbird,2011,127238,44593.06,10,plateado,diesel,automatico,bueno
Volkswagen,Passat,2005,26032,21822.05,9,morado,gasolina,manual,impecable
Pontiac,Daewoo Kalos,2020,4271,10938.4,19,rojo,hibrido,manual,bueno
Hummer,H2,2015,120013,45723.03,11,blanco,electrico,manual,aceptable
Ford,E-Series,2016,88571,33593.66,17,verde,gasolina,manual,aceptable
Toyota,Xtra,2015,48919,41124.96,12,rojo,hibrido,automatico,aceptable
Subaru,Brat,2009,79384,19878.32,,plateado,hibrido,automatico,malo
Cadillac,DeVille,2006,137248,19324.14,15,rosa,electrico,automatico,malo
BMW,5 Series,2003,46323,13051.73,6,morado,diesel,automatico,malo
Infiniti,Q,1997,18195,24011.04,,negro,glp,automatico,regular
GMC,Sierra 2500,2001,58207,12486.03,10,rojo,gasolina,manual,aceptable
Dodge,Grand Caravan,1995,53949,29643.1,,amarillo,gasolina,manual,deteriorado
Mercury,Lynx,2009,166593,9079.18,5,blanco,gasolina,manual,regular
Daewoo,Lanos,2010,144533,20363.89,16,plateado,gasolina,automatico,malo
Ford,Focus,2018,24108,44415.98,,azul,hibrido,manual,aceptable
